place_id,destination_id,travel_type_id,place_name,latitude,longitude,entry_fee,avg_time_minutes,verified_latitude,verified_longitude,distance_meters,updated
170,17,1,Eco Tourism Area,17.5935,80.6596,0,95,,,,False
171,18,1,Medchal Lake,17.6337,78.485,0,50,17.5165931,78.3965197,16006.462140837488,True
172,18,4,Local Temple,17.6377,78.489,0,55,,,,False
173,18,1,Nature Park,17.6417,78.493,20,60,,,,False
174,18,1,Hill View Area,17.6457,78.497,0,65,,,,False
175,18,4,Heritage Streets,17.6497,78.501,0,70,,,,False
176,18,1,Sunset Point,17.6537,78.505,20,75,,,,False
177,18,4,Local Museum,17.6577,78.509,0,80,,,,False
178,18,5,Evening Cafes,17.6617,78.513,0,85,,,,False
179,18,1,Lake Side Walk,17.6657,78.517,20,90,,,,False
180,18,4,Town Market Area,17.6697,78.521,0,95,,,,False
181,19,1,Kawal Forest Area,19.362,79.289,0,50,,,,False
182,19,4,Tribal Village Walk,19.366,79.293,0,55,,,,False
183,19,1,Waterfall View Point,19.37,79.297,20,60,,,,False
184,19,2,Forest Trek Route,19.374,79.301,0,65,,,,False
185,19,1,River Side Walk,19.378,79.305,0,70,,,,False
186,19,1,Nature Park,19.382,79.309,20,75,,,,False
187,19,4,Local Museum,19.386,79.313,0,80,,,,False
188,19,1,Sunset Point,19.39,79.317,0,85,,,,False
189,19,5,Evening Market,19.394,79.321,20,90,,,,False
190,19,1,Eco Tourism Area,19.398,79.325,0,95,,,,False
191,20,4,Narayanpet Fort,16.8664,77.4334,0,50,,,,False
192,20,4,Handloom Weaving Center,16.8704,77.4374,0,55,,,,False
193,20,4,Local Temple,16.8744,77.4414,20,60,,,,False
194,20,1,River View Area,16.8784,77.4454,0,65,,,,False
195,20,1,Nature Park,16.8824,77.4494,0,70,,,,False
196,20,4,Heritage Streets,16.8864,77.4534,20,75,,,,False
197,20,1,Sunset Point,16.8904,77.4574,0,80,,,,False
198,20,4,Local Museum,16.8944,77.4614,0,85,,,,False
199,20,5,Evening Food Street,16.8984,77.4654,20,90,,,,False
200,20,4,Town Market Area,16.9024,77.4694,0,95,,,,False
