hotel_id,destination_id,name,price_per_night_INR,rating,latitude,longitude,verified_latitude,verified_longitude,distance_meters,updated
33,4,Hotel Peacock Pride,3481,4.0,18.46627,79.164448,,,,False
34,4,Hotel Prathima Regency,4802,4.4,18.418092,79.142092,,,,False
35,4,Hotel Nawab's,4180,4.3,18.471066,79.084426,18.4405598,79.1317597,6033.224097535956,True
36,4,Hotel Srinivasa,2979,4.0,18.437235,79.146119,,,,False
37,4,Hotel Manair,2757,3.8,18.478462,79.112888,,,,False
38,4,Hotel V Park,3131,4.1,18.429945,79.08964,18.4192939,79.123893,3805.9737151555405,True
39,4,Hotel Kalpana,3989,4.5,18.41626,79.128552,18.4318664,79.1320278,1765.9991026778227,True
40,4,Hotel Tara,4684,3.6,18.483397,79.10781,,,,False
41,5,Hotel Grand Gayathri,1501,4.0,17.206933,80.131478,,,,False
42,5,Hotel Vishnu Residency,4796,4.1,17.263563,80.154184,17.2524555,80.1411626,1851.621448977913,True
43,5,Hotel Kaveri,4277,4.5,17.224085,80.166892,,,,False
44,5,Hotel Sridhar,1702,3.9,17.224094,80.178683,17.2520355,80.141567,5014.35561751586,True
45,5,Hotel Manorama,4431,4.5,17.238194,80.179879,,,,False
46,5,Hotel Budget,3691,4.3,17.23117,80.123187,,,,False
47,5,Hotel Park,4920,4.4,17.231636,80.126222,17.2495432,80.1561982,3753.7427167135634,True
48,5,Hotel Aditya,2869,4.0,17.222685,80.164466,,,,False
49,5,Hotel Vamshi,3343,4.4,17.238081,80.152998,,,,False
50,5,Hotel Geetha,4419,3.6,17.232996,80.116613,,,,False
51,6,Hotel Ravi Teja,3698,4.0,19.694921,78.50757,,,,False
52,6,Hotel Laxmi Residency,3691,4.3,19.682268,78.534669,,,,False
53,6,Hotel Dwaraka Residency,3549,4.5,19.719188,78.537246,,,,False
54,6,Haritha Hotel Adilabad,2683,4.1,19.662813,78.518429,,,,False
55,6,Hotel Panchavati,4363,4.3,19.709369,78.523406,19.6731335,78.5339135,4159.829098000938,True
56,6,Hotel Kamadhenu,3196,4.1,19.639873,78.501547,,,,False
57,6,Hotel Tirumala,2945,4.2,19.684562,78.520505,,,,False
58,6,Hotel Annapurna,2996,4.2,19.632756,78.501473,,,,False
59,6,Hotel Krishna,1837,4.0,19.672658,78.576501,,,,False
60,6,Hotel Sri Krishna,1660,3.5,19.67675,78.503094,,,,False
61,7,Haritha Heritage Hotel,3027,4.1,18.08023,78.277985,,,,False
62,7,Haritha Hotel Edupayala,4604,4.0,18.049593,78.27607,,,,False
63,7,Hotel Delhiwala,2545,3.7,18.091371,78.254179,,,,False
64,7,Hotel Alankar,3985,4.4,18.042895,78.250307,,,,False
65,7,Hotel Balaji,3831,4.2,18.081575,78.239517,,,,False
66,7,Hotel Swarna Palace,2315,3.8,18.005988,78.276893,,,,False
67,7,Hotel Manjeera,1516,4.5,18.046095,78.24396,,,,False
68,7,Hotel Vijaya,4065,3.9,18.005191,78.302349,,,,False
69,7,Hotel Sai Ram,4044,4.1,18.055306,78.30703,,,,False
70,7,Hotel Sri Krishna,2639,3.8,18.038459,78.295402,,,,False
71,8,Hotel Mint Park,4827,4.0,16.737342,77.994022,,,,False
72,8,RNS Residency,4113,4.2,16.755106,77.967246,,,,False
73,8,Hotel Sindhu,4859,4.2,16.736078,77.981375,16.7495195,77.9935024,1971.027590831783,True
74,8,Hotel Ganesh,4037,4.4,16.770469,78.021231,,,,False
75,8,Haritha Hotel Mahabubnagar,1745,3.9,16.730223,78.031343,,,,False
76,8,Hotel Geetha,3390,3.8,16.758836,77.965843,16.7517233,78.0071173,4470.633058762791,True
77,8,Hotel Srinivasa,4450,4.0,16.775647,78.016997,,,,False
78,8,Hotel Balaji,4059,3.9,16.708369,78.038296,,,,False
79,8,Hotel Sri Laxmi,2666,3.9,16.712258,78.010545,,,,False
80,8,Hotel Venkat,2353,3.8,16.717754,78.046866,,,,False
81,9,Hotel Swagath,3697,4.1,17.015445,79.226761,,,,False
82,9,Hotel Vamshee,2337,3.8,17.061037,79.252799,,,,False
83,9,Haritha Nalgonda,3811,4.3,17.032124,79.27946,,,,False
84,9,Hotel Balaji Grand,2719,4.3,17.030194,79.260422,,,,False
85,9,Hotel Kanchana,4414,4.1,17.078048,79.311227,,,,False
86,9,Hotel Sri Krishna,2135,4.2,17.016396,79.259294,,,,False
87,9,Hotel Annapurna,3310,3.9,17.019761,79.225682,,,,False
88,9,Hotel Vijaya,1616,3.6,17.051248,79.285365,,,,False
89,9,Hotel Laxmi,3164,3.7,17.026779,79.245922,,,,False
90,9,Hotel Sai,2641,4.2,17.072118,79.248594,,,,False
91,10,Hotel Redla's Inn,4843,4.0,17.63314,78.075911,,,,False
92,10,CGR Manjeera Hotel,4408,3.9,17.596296,78.068738,,,,False
93,10,Hotel Jyothi,2496,3.6,17.604769,78.044962,,,,False
94,10,Hotel Vamshi,4618,3.5,17.650991,78.100029,,,,False
95,10,Hotel Sri Krishna,2727,3.5,17.642703,78.109322,,,,False
96,10,Hotel Balaji,3135,3.7,17.613047,78.072565,,,,False
97,10,Hotel Venkateswara,4069,4.4,17.653801,78.06018,,,,False
98,10,Hotel Sai Ram,4309,4.4,17.619094,78.085244,,,,False
99,10,Hotel Srinivasa,2015,4.1,17.65895,78.121683,,,,False
100,10,Hotel Annapurna,2395,4.1,17.646085,78.097645,,,,False
101,11,Haritha Resort Ananthagiri,19938,4.8,17.332843,77.908906,,,,False
102,11,Deccan Trails,3136,4.1,17.365438,77.918434,,,,False
103,11,Hotel R Banquets,2566,3.7,17.297843,77.86887,,,,False
104,11,Anantha Deluxe Lodge,4824,3.6,17.353071,77.866207,,,,False
105,11,Hotel Prabhat,2275,3.9,17.352945,77.890456,,,,False
106,11,Hotel Sri Krishna,1614,3.8,17.302235,77.922506,,,,False
107,11,Hotel Balaji,3016,4.4,17.295127,77.897415,,,,False
108,11,Hotel Sai Ram,4568,3.8,17.30757,77.927355,,,,False
109,11,Hotel Vijaya,3739,4.1,17.357448,77.871292,,,,False
110,11,Hotel Srinivasa,2508,4.3,17.322272,77.943568,,,,False
111,12,Hotel NorthInn,1536,3.7,18.884086,79.485492,,,,False
112,12,Hotel A1,4414,3.6,18.90413,79.464373,,,,False
113,12,Hotel Ramasudha,3403,3.9,18.849687,79.427899,,,,False
114,12,Hotel Vaibhav,3135,3.5,18.904384,79.427116,,,,False
115,12,Hotel Sneha,4002,4.5,18.883809,79.462327,,,,False
116,12,Hotel Sri Krishna,2890,3.6,18.831153,79.47312,,,,False
117,12,Hotel Balaji,4495,4.2,18.890614,79.490142,,,,False
118,12,Hotel Laxmi,4116,3.6,18.906684,79.506582,18.8807904,79.4456561,7029.899360472221,True
119,12,Hotel Sai,3945,4.0,18.862638,79.498793,18.880907,79.445069,6011.367421521832,True
120,12,Hotel Venkateswara,1734,4.2,18.910079,79.480823,,,,False
121,13,Hotel PMR Grand,2453,4.1,18.749101,78.87457,,,,False
122,13,Hotel LG Ram,3176,3.7,18.775699,78.947271,,,,False
123,13,Hotel Swagath,2717,3.6,18.747635,78.955798,,,,False
124,13,Hotel Annapurna,3019,4.4,18.819232,78.888302,,,,False
125,13,Hotel Sri Krishna,4898,4.5,18.807804,78.900863,,,,False
126,13,Hotel Balaji,4986,4.0,18.774019,78.930458,,,,False
127,13,Hotel Laxmi,2213,4.4,18.750008,78.911336,,,,False
128,13,Hotel Sai,2152,3.9,18.791433,78.933688,,,,False
129,13,Hotel Venkateswara,1955,3.6,18.798429,78.934144,,,,False
130,13,Hotel Srinivasa,3496,3.7,18.77602,78.909994,,,,False
131,14,Hotel Sitharam Inn,4980,4.4,17.643524,80.93529,,,,False
132,14,Haritha Hotel Bhadrachalam,2184,4.5,17.627284,80.928803,17.6715174,80.8878578,6545.535586293095,True
133,14,Hotel Bhadrachalam,4433,4.4,17.70612,80.871369,17.6715174,80.8878578,4210.302832048192,True
134,14,Hotel Geethanjali,3182,4.5,17.670479,80.905246,,,,False
135,14,Hotel Godavari,3049,3.8,17.713025,80.911323,,,,False
136,14,Hotel Sri Ram,4830,4.4,17.62749,80.873887,,,,False
137,14,Hotel Balaji,4283,3.6,17.658907,80.858208,,,,False
138,14,Hotel Laxmi,1872,3.8,17.640331,80.890333,,,,False
139,14,Hotel Sai,4245,3.7,17.647334,80.881031,,,,False
140,14,Hotel Venkateswara,2239,4.5,17.686235,80.896849,,,,False
141,15,Hotel Haritha Siddipet,2428,3.9,18.11105,78.831386,,,,False
142,15,Hotel Swarna Palace,4456,4.4,18.130828,78.892482,,,,False
143,15,Hotel Srinivasa,1755,4.1,18.139526,78.814447,,,,False
144,15,Hotel Balaji,2297,4.4,18.06087,78.809373,,,,False
145,15,Hotel Laxmi,3324,4.3,18.100033,78.895676,,,,False
146,15,Hotel Sai,3302,4.1,18.09108,78.894292,,,,False
147,15,Hotel Venkateswara,4342,4.1,18.062516,78.810314,,,,False
148,15,Hotel Sri Krishna,2010,3.8,18.061874,78.884825,,,,False
149,15,Hotel Annapurna,3500,4.0,18.124292,78.889185,,,,False
150,15,Hotel Vijaya,4594,4.3,18.141829,78.883468,,,,False
151,16,Hotel Haritha Yadadri,2668,3.7,17.492454,78.92363,,,,False
152,16,Hotel Yadadri,2184,4.1,17.494578,78.961453,17.5298156,78.928095,5268.557719134439,True
153,16,Hotel Sri Lakshmi Narasimha,3323,3.5,17.498181,78.902997,,,,False
154,16,Hotel Punnami,1749,4.0,17.543509,78.947815,,,,False
155,16,Hotel Balaji,1767,4.3,17.561118,78.908957,,,,False
156,16,Hotel Laxmi,2262,3.9,17.486061,78.90359,,,,False
157,16,Hotel Sai,4778,4.3,17.531543,78.973454,17.5128699,78.883161,9808.101108338891,True
158,16,Hotel Venkateswara,3650,3.6,17.475309,78.932553,,,,False
159,16,Hotel Sri Krishna,3645,4.1,17.523933,78.90919,,,,False
160,16,Hotel Annapurna,3517,3.8,17.520259,78.971529,17.4674386,78.7520541,24030.78767778307,True
161,17,Hotel Geethanjali,2519,3.8,17.553824,80.637788,,,,False
162,17,Hotel Sitara,2296,3.6,17.590093,80.61929,,,,False
163,17,Hotel Prameela,3375,4.0,17.594903,80.619336,,,,False
164,17,Hotel Vamshee,1704,3.7,17.558868,80.605741,,,,False
165,17,Hotel Sri Krishna,3658,3.6,17.518224,80.588671,,,,False
166,17,Hotel Balaji,4945,4.2,17.522906,80.637685,,,,False
167,17,Hotel Laxmi,1780,4.4,17.549357,80.63508,,,,False
168,17,Hotel Sai,3469,4.1,17.526846,80.648961,,,,False
169,17,Hotel Venkateswara,2989,3.8,17.522631,80.582983,,,,False
170,17,Hotel Srinivasa,4192,4.0,17.52527,80.607784,,,,False
171,18,Honey Berg Resort,22124,4.7,17.593006,78.479703,,,,False
172,18,Aalankrita Resort,18453,4.5,17.663322,78.519279,,,,False
173,18,Leonia Holistic Destination,1836,3.8,17.657258,78.503743,17.5832963,78.6010264,13175.92527626052,True
174,18,Celebrity Resort,8302,4.7,17.628307,78.492043,,,,False
175,18,Summer Green Resort,16150,4.8,17.649546,78.442011,17.5696929,78.5552679,14919.835626090857,True
176,18,Hotel Sri Krishna,4246,3.8,17.648901,78.516969,,,,False
177,18,Hotel Balaji,4297,4.2,17.587442,78.514449,17.4843184,78.3992101,16732.567965211318,True
178,18,Hotel Laxmi,4353,4.0,17.606522,78.460632,,,,False
179,18,Hotel Sai,1984,3.7,17.635457,78.512064,17.4970106,78.3913098,19977.963212949995,True
180,18,Hotel Venkateswara,3633,3.8,17.595479,78.516547,17.4013223,78.5624786,22034.947622787404,True
181,19,Hotel Asifabad,4783,4.0,19.351959,79.287394,19.3612862,79.2947302,1288.462572040623,True
182,19,Hotel Kumram Bheem,2669,3.6,19.36834,79.281816,,,,False
183,19,Hotel Haritha,4940,4.1,19.35409,79.25937,,,,False
184,19,Hotel Sri Krishna,4239,4.1,19.37137,79.261049,,,,False
185,19,Hotel Balaji,2376,3.8,19.404032,79.229678,,,,False
186,19,Hotel Laxmi,3824,3.7,19.342136,79.243461,,,,False
187,19,Hotel Sai,4390,3.6,19.392528,79.234009,,,,False
188,19,Hotel Venkateswara,2660,3.6,19.367206,79.265936,,,,False
189,19,Hotel Srinivasa,4095,4.5,19.400695,79.28084,,,,False
190,19,Hotel Annapurna,1574,4.4,19.393536,79.252211,,,,False
191,20,Hotel Narayanpet,4051,4.2,16.773578,77.518061,,,,False
192,20,Hotel Sri Krishna,4262,4.1,16.724898,77.522654,,,,False
193,20,Hotel Balaji,3873,4.5,16.763686,77.471356,,,,False
194,20,Hotel Laxmi,2031,3.7,16.710035,77.508356,,,,False
195,20,Hotel Sai,1819,3.6,16.745249,77.537281,,,,False
196,20,Hotel Venkateswara,4392,4.0,16.704364,77.483694,,,,False
197,20,Hotel Srinivasa,1509,4.0,16.749103,77.471556,,,,False
198,20,Hotel Annapurna,2691,4.3,16.722618,77.514735,,,,False
199,20,Hotel Vijaya,4332,3.6,16.742285,77.507949,,,,False
200,20,Hotel Sri Ram,4990,3.8,16.783358,77.528156,,,,False
