place_id,destination_id,travel_type_id,place_name,latitude,longitude,entry_fee,avg_time_minutes
103,11,4,Anantha Padmanabha Temple,17.35,77.9164,20,60
104,11,2,Forest Trek Route,17.354,77.9204,0,65
105,11,1,Sunrise View Point,17.358,77.9244,0,70
106,11,1,River Side Camping Area,17.362,77.9284,20,75
107,11,1,Nature Park,17.366,77.9324,0,80
108,11,1,Hill Top View,17.37,77.9364,0,85
109,11,5,Evening Cafes,17.374,77.9404,20,90
110,11,4,Local Market,17.378,77.9444,0,95
111,12,1,Pranahita River View,18.8766,79.4483,0,50
112,12,1,Forest Walk Area,18.8806,79.4523,0,55
113,12,4,Local Tribal Museum,18.8846,79.4563,20,60
114,12,1,Eco Tourism Park,18.8886,79.4603,0,65
115,12,1,River Side Camping,18.8926,79.4643,0,70
116,12,1,Nature View Point,18.8966,79.4683,20,75
117,12,4,Temple Area,18.9006,79.4723,0,80
118,12,4,Heritage Streets,18.9046,79.4763,0,85
119,12,5,Local Night Market,18.9086,79.4803,20,90
120,12,1,Sunset View Point,18.9126,79.4843,0,95
121,13,4,Jagtial Fort,18.7987,78.9201,0,50
122,13,1,Sri Ram Sagar Project,18.8027,78.9241,0,55
123,13,4,Anjaneya Temple,18.8067,78.9281,20,60
124,13,1,River View Point,18.8107,78.9321,0,65
125,13,1,Nature Park,18.8147,78.9361,0,70
126,13,4,Temple Street Area,18.8187,78.9401,20,75
127,13,4,Local Museum,18.8227,78.9441,0,80
128,13,1,Sunset Point,18.8267,78.9481,0,85
129,13,5,Evening Food Street,18.8307,78.9521,20,90
130,13,4,Handloom Market,18.8347,78.9561,0,95
131,14,4,Bhadrachalam Temple,17.6724,80.8928,0,50
132,14,1,Godavari River Cruise,17.6764,80.8968,0,55
133,14,1,Papi Hills,17.6804,80.9008,20,60
134,14,1,Ramappa Ghat,17.6844,80.9048,0,65
135,14,4,Museum of Tribal Culture,17.6884,80.9088,0,70
136,14,1,River Side Walk,17.6924,80.9128,20,75
137,14,1,Nature View Point,17.6964,80.9168,0,80
138,14,4,Heritage Streets,17.7004,80.9208,0,85
139,14,5,Night Market,17.7044,80.9248,20,90
140,14,1,Sunrise View Point,17.7084,80.9288,0,95
141,15,1,Komati Cheruvu,18.1059,78.856,0,50
142,15,4,Siddipet Fort Area,18.1099,78.86,0,55
143,15,4,Local Temple,18.1139,78.864,20,60
144,15,1,Nature Park,18.1179,78.868,0,65
145,15,1,Sunset Point,18.1219,78.872,0,70
146,15,1,River Side Walk,18.1259,78.876,20,75
147,15,4,Handloom Market,18.1299,78.88,0,80
148,15,5,Evening Food Street,18.1339,78.884,0,85
149,15,1,Boating Area,18.1379,78.888,20,90
150,15,4,Heritage Streets,18.1419,78.892,0,95
151,16,4,Yadadri Temple,17.5893,78.9475,0,50
152,16,1,Hill Top View Point,17.5933,78.9515,0,55
153,16,1,Temple Gardens,17.5973,78.9555,20,60
154,16,1,Sunrise Point,17.6013,78.9595,0,65
155,16,4,Heritage Streets,17.6053,78.9635,0,70
156,16,4,Local Museum,17.6093,78.9675,20,75
157,16,1,Nature Walk Area,17.6133,78.9715,0,80
158,16,5,Evening Cafes,17.6173,78.9755,0,85
159,16,4,Spiritual Center,17.6213,78.9795,20,90
160,16,4,Temple Market Area,17.6253,78.9835,0,95
161,17,1,Kinnerasani Dam,17.5575,80.6236,0,50
162,17,1,Kothagudem Lake,17.5615,80.6276,0,55
163,17,1,Forest View Point,17.5655,80.6316,20,60
164,17,1,Nature Park,17.5695,80.6356,0,65
165,17,1,River Side Walk,17.5735,80.6396,0,70
166,17,4,Local Museum,17.5775,80.6436,20,75
167,17,4,Heritage Streets,17.5815,80.6476,0,80
168,17,5,Evening Food Street,17.5855,80.6516,0,85
169,17,1,Sunset Point,17.5895,80.6556,20,90
170,17,1,Eco Tourism Area,17.5935,80.6596,0,95
171,18,1,Medchal Lake,17.6337,78.485,0,50
172,18,4,Local Temple,17.6377,78.489,0,55
173,18,1,Nature Park,17.6417,78.493,20,60
174,18,1,Hill View Area,17.6457,78.497,0,65
175,18,4,Heritage Streets,17.6497,78.501,0,70
176,18,1,Sunset Point,17.6537,78.505,20,75
177,18,4,Local Museum,17.6577,78.509,0,80
178,18,5,Evening Cafes,17.6617,78.513,0,85
179,18,1,Lake Side Walk,17.6657,78.517,20,90
180,18,4,Town Market Area,17.6697,78.521,0,95
181,19,1,Kawal Forest Area,19.362,79.289,0,50
182,19,4,Tribal Village Walk,19.366,79.293,0,55
183,19,1,Waterfall View Point,19.37,79.297,20,60
184,19,2,Forest Trek Route,19.374,79.301,0,65
185,19,1,River Side Walk,19.378,79.305,0,70
186,19,1,Nature Park,19.382,79.309,20,75
187,19,4,Local Museum,19.386,79.313,0,80
188,19,1,Sunset Point,19.39,79.317,0,85
189,19,5,Evening Market,19.394,79.321,20,90
190,19,1,Eco Tourism Area,19.398,79.325,0,95
191,20,4,Narayanpet Fort,16.8664,77.4334,0,50
192,20,4,Handloom Weaving Center,16.8704,77.4374,0,55
193,20,4,Local Temple,16.8744,77.4414,20,60
194,20,1,River View Area,16.8784,77.4454,0,65
195,20,1,Nature Park,16.8824,77.4494,0,70
196,20,4,Heritage Streets,16.8864,77.4534,20,75
197,20,1,Sunset Point,16.8904,77.4574,0,80
198,20,4,Local Museum,16.8944,77.4614,0,85
199,20,5,Evening Food Street,16.8984,77.4654,20,90
200,20,4,Town Market Area,16.9024,77.4694,0,95
